,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
346,17276345,MK's Asian Kitchen,Opelika,"2490 Enterprise Dr, Opelika 36801",Opelika,32.6205650000,-85.4092750000,36801,"Asian, Chinese",1,10,4.9,Excellent,95,38
347,16607119,Baringo Food & Wine Co.,New Gisborne,"Shop 1 283 Station Rd, New Gisborne",New Gisborne,-37.4593428000,144.5980671000,3438,"Coffee and Tea, Australian",2,20,4.9,Excellent,64,37
348,16643277,Saigon Moon,Black Diamond,"130 Government Road, Black Diamond T0L0H0",Black Diamond,50.6872963000,-114.2325731000,T0L0H0,"Vietnamese, Beverages",2,25,4.9,Excellent,43,18
349,16607294,The Winery Kitchen,Seymour,"1 Emily St, Seymour, Seymour",Seymour,-37.0224530000,145.1147290000,3660,"Australian, Desserts, Italian",2,20,4.9,Excellent,62,29
350,16606526,Elevation 423 Bar & Cafe,Marysville,"41 Murchison St, Marysville",Marysville,-37.5108450000,145.7450260000,3779,"Coffee and Tea, Bar Food, Australian",4,75,4.9,Excellent,80,51
351,17553244,Wong's Restaurant,Clinton,"712 Opal Ave, Clinton 73601",Clinton,35.5065000000,-98.9687000000,73601,"American, Chinese",1,10,4.9,Excellent,65,22
352,16608129,Port Elliot Bakery,Port Elliot,"31 North Terrace, Port Elliot",Port Elliot,-35.5306780000,138.6825710000,5212,Others,1,7,4.9,Excellent,96,34
353,16604764,The Black Spur Inn,Narbethong,"436 Maroondah Highway, Narbethong",Narbethong,-37.5572240000,145.6581270000,3778,Modern Australian,3,30,4.9,Excellent,66,40
354,16605902,Pik Nik,Swan Bay,"1195 Queenscliff Rd, Swan Bay",Swan Bay,-38.2267968481,144.6351877972,3225,"Coffee and Tea, Desserts, Modern Australian",2,20,4.9,Excellent,108,45
355,16606711,The Driftwood Cafe,Ocean Grove,"64 The Terrace, Ocean Grove, Ocean Grove",Ocean Grove,-38.2678719000,144.5222505000,3226,Cafe Food,2,20,4.9,Excellent,156,98
356,17656346,Del Norte,Godley,"101 E Hwy 171, Godley 76044",Godley,32.4485140000,-97.5341830000,76044,"Mexican, Southwestern, Tex-Mex",1,10,4.9,Excellent,50,16
357,17417691,3rd & Main,Aurora,"223 Third St, Aurora 47001",Aurora,39.0548510000,-84.8994390000,47001,"American, BBQ, Burger",3,40,4.9,Excellent,97,70
358,16608061,Aquacafe,Goolwa South,"94 Barrage Rd, Goolwa South",Goolwa South,-35.5109680000,138.7828729000,5214,"Coffee and Tea, Seafood",2,20,4.9,Excellent,52,21
